,from,from_rounded,from_location,to_haven,trip_ID,vessel_mmsi,geometry
10748,2022-09-09 03:43:46+00:00,2022-09-09 04:00:00+00:00,"[4.28384, 51.89893]",BOTL,6120,311001055,POINT (4.28384 51.89893)
10749,2022-09-09 04:13:59+00:00,2022-09-09 04:00:00+00:00,"[4.34741, 51.89674]",NMBOT,6121,319092900,POINT (4.34741 51.89674)
10750,2022-09-09 03:33:42+00:00,2022-09-09 04:00:00+00:00,"[4.05229, 51.98634]",EURO,6122,373004000,POINT (4.05229 51.98634)
10751,2022-09-09 03:38:46+00:00,2022-09-09 04:00:00+00:00,"[4.06699, 51.98234]",EURO,6122,373004000,POINT (4.06699 51.98234)
10757,2022-09-09 06:20:06+00:00,2022-09-09 06:00:00+00:00,"[4.07717, 51.97862]",EURO,6126,304080000,POINT (4.07717 51.97862)
10763,2022-09-09 07:46:19+00:00,2022-09-09 08:00:00+00:00,"[3.99805, 51.96742]",ARIANE,6130,244238000,POINT (3.99805 51.96742)
10769,2022-09-09 08:26:58+00:00,2022-09-09 08:00:00+00:00,"[4.18277, 51.93718]",7PET,6134,636015945,POINT (4.18277 51.93718)
10770,2022-09-09 08:21:43+00:00,2022-09-09 08:00:00+00:00,"[4.17028, 51.94362]",7PET,6134,636015945,POINT (4.17028 51.94362)
10775,2022-09-09 08:47:19+00:00,2022-09-09 09:00:00+00:00,"[4.07006, 51.98241]",AMAZ,6137,357992000,POINT (4.07006 51.98241)
10776,2022-09-09 08:47:13+00:00,2022-09-09 09:00:00+00:00,"[4.07006, 51.98241]",AMAZ,6137,357992000,POINT (4.07006 51.98241)
10777,2022-09-09 08:42:06+00:00,2022-09-09 09:00:00+00:00,"[4.05762, 51.98598]",AMAZ,6137,357992000,POINT (4.05762 51.98598)
10782,2022-09-09 05:49:52+00:00,2022-09-09 06:00:00+00:00,"[4.3949, 51.89717]",WAAL,6140,525107008,POINT (4.3949 51.89717)
10783,2022-09-09 05:49:53+00:00,2022-09-09 06:00:00+00:00,"[4.17102, 51.95018]",WAAL,6140,525107008,POINT (4.17102 51.95018)
10784,2022-09-09 05:49:58+00:00,2022-09-09 06:00:00+00:00,"[4.17102, 51.95018]",WAAL,6140,525107008,POINT (4.17102 51.95018)
10788,2022-09-09 09:38:01+00:00,2022-09-09 10:00:00+00:00,"[4.40633, 51.89912]",WAAL,6143,356555000,POINT (4.40633 51.89912)
