,from,from_rounded,from_location,to_haven,trip_ID,vessel_mmsi,geometry
0,2022-05-31 22:49:33+00:00,2022-05-31 23:00:00+00:00,"[4.06852, 51.98272]",MISS,0,370604000,POINT (4.06852 51.98272)
1,2022-05-31 22:49:32+00:00,2022-05-31 23:00:00+00:00,"[4.06852, 51.98272]",MISS,0,370604000,POINT (4.06852 51.98272)
2,2022-05-31 22:54:16+00:00,2022-05-31 23:00:00+00:00,"[4.08358, 51.97713]",MISS,0,370604000,POINT (4.08358 51.97713)
5,2022-05-31 23:39:58+00:00,2022-06-01 00:00:00+00:00,"[4.28209, 51.89865]",BOTL,2,538005077,POINT (4.28209 51.89865)
8,2022-05-31 23:34:58+00:00,2022-06-01 00:00:00+00:00,"[4.14163, 51.96557]",3PET,4,538005865,POINT (4.14163 51.96557)
13,2022-06-01 01:11:15+00:00,2022-06-01 01:00:00+00:00,"[4.08005, 51.97787]",PET8,7,538007563,POINT (4.08005 51.97787)
14,2022-06-01 01:11:15+00:00,2022-06-01 01:00:00+00:00,"[4.08005, 51.97787]",PET8,7,538007563,POINT (4.08005 51.97787)
15,2022-06-01 01:20:30+00:00,2022-06-01 01:00:00+00:00,"[4.07866, 51.97826]",AMAZ,8,218366000,POINT (4.07866 51.97826)
16,2022-06-01 01:20:40+00:00,2022-06-01 01:00:00+00:00,"[4.07866, 51.97826]",AMAZ,8,218366000,POINT (4.07866 51.97826)
17,2022-06-01 02:21:53+00:00,2022-06-01 02:00:00+00:00,"[4.08139, 51.97659]",AMAZ,9,218854000,POINT (4.08139 51.97659)
18,2022-06-01 02:20:35+00:00,2022-06-01 02:00:00+00:00,"[4.07844, 51.97854]",AMAZ,9,218854000,POINT (4.07844 51.97854)
20,2022-06-01 03:50:45+00:00,2022-06-01 04:00:00+00:00,"[4.31307, 51.89364]",NMBOT,11,220530000,POINT (4.31307 51.89364)
38,2022-06-01 07:14:53+00:00,2022-06-01 07:00:00+00:00,"[4.07111, 51.96179]",EURO,22,319113500,POINT (4.07111 51.96179)
42,2022-06-01 07:55:24+00:00,2022-06-01 08:00:00+00:00,"[4.07592, 51.97932]",6PET,25,219337000,POINT (4.07592 51.97932)
43,2022-06-01 07:55:08+00:00,2022-06-01 08:00:00+00:00,"[4.07592, 51.97932]",6PET,25,219337000,POINT (4.07592 51.97932)
44,2022-06-01 08:20:38+00:00,2022-06-01 08:00:00+00:00,"[4.33713, 51.89477]",NMBOT,26,563621000,POINT (4.33713 51.89477)
45,2022-06-01 08:20:39+00:00,2022-06-01 08:00:00+00:00,"[4.33713, 51.89477]",NMBOT,26,563621000,POINT (4.33713 51.89477)
46,2022-06-01 07:40:20+00:00,2022-06-01 08:00:00+00:00,"[4.08437, 51.97617]",AMALIA,27,636017433,POINT (4.08437 51.97617)
47,2022-06-01 07:35:11+00:00,2022-06-01 08:00:00+00:00,"[4.07186, 51.98155]",AMALIA,27,636017433,POINT (4.07186 51.98155)
48,2022-06-01 09:00:54+00:00,2022-06-01 09:00:00+00:00,"[4.41074, 51.89972]",WAAL,28,212836000,POINT (4.41074 51.89972)
49,2022-06-01 08:55:55+00:00,2022-06-01 09:00:00+00:00,"[4.39908, 51.89724]",WAAL,28,212836000,POINT (4.39908 51.89724)
50,2022-06-01 08:40:41+00:00,2022-06-01 09:00:00+00:00,"[4.07483, 51.97933]",EURO,29,477711600,POINT (4.07483 51.97933)
51,2022-06-01 08:35:36+00:00,2022-06-01 09:00:00+00:00,"[4.06133, 51.98383]",EURO,29,477711600,POINT (4.06133 51.98383)
53,2022-06-01 10:37:18+00:00,2022-06-01 11:00:00+00:00,"[4.3381, 51.89422]",2PET,31,538008703,POINT (4.3381 51.89422)
54,2022-06-01 10:37:17+00:00,2022-06-01 11:00:00+00:00,"[4.3381, 51.89422]",2PET,31,538008703,POINT (4.3381 51.89422)
60,2022-06-01 12:13:57+00:00,2022-06-01 12:00:00+00:00,"[4.07743, 51.97897]",YANG,35,477274400,POINT (4.07743 51.97897)
61,2022-06-01 12:13:57+00:00,2022-06-01 12:00:00+00:00,"[4.07743, 51.97897]",YANG,35,477274400,POINT (4.07743 51.97897)
64,2022-06-01 14:20:12+00:00,2022-06-01 14:00:00+00:00,"[4.07363, 51.98043]",EURO,37,352140000,POINT (4.07363 51.98043)
65,2022-06-01 14:20:17+00:00,2022-06-01 14:00:00+00:00,"[4.38039, 51.8971]",PWAH,38,563155100,POINT (4.38039 51.8971)
68,2022-06-01 16:21:58+00:00,2022-06-01 16:00:00+00:00,"[4.36892, 51.89854]",PWAH,40,255805553,POINT (4.36892 51.89854)
69,2022-06-01 16:20:46+00:00,2022-06-01 16:00:00+00:00,"[4.12252, 51.96473]",5PET,41,538005902,POINT (4.12252 51.96473)
70,2022-06-01 16:22:03+00:00,2022-06-01 16:00:00+00:00,"[4.12252, 51.96473]",5PET,41,538005902,POINT (4.12252 51.96473)
73,2022-06-01 17:58:03+00:00,2022-06-01 18:00:00+00:00,"[4.14102, 51.95726]",CKVTTI,43,538008426,POINT (4.14102 51.95726)
74,2022-06-01 17:57:56+00:00,2022-06-01 18:00:00+00:00,"[4.14102, 51.95726]",CKVTTI,43,538008426,POINT (4.14102 51.95726)
80,2022-06-01 18:43:38+00:00,2022-06-01 19:00:00+00:00,"[4.08948, 51.97573]",5PET,47,538008311,POINT (4.08948 51.97573)
81,2022-06-01 18:38:32+00:00,2022-06-01 19:00:00+00:00,"[4.07438, 51.98022]",5PET,47,538008311,POINT (4.07438 51.98022)
82,2022-06-01 18:43:42+00:00,2022-06-01 19:00:00+00:00,"[4.08948, 51.97573]",5PET,47,538008311,POINT (4.08948 51.97573)
87,2022-06-01 20:34:31+00:00,2022-06-01 21:00:00+00:00,"[4.15513, 51.95117]",7PET,50,240730000,POINT (4.15513 51.95117)
88,2022-06-01 20:34:27+00:00,2022-06-01 21:00:00+00:00,"[4.15513, 51.95117]",7PET,50,240730000,POINT (4.15513 51.95117)
89,2022-06-01 21:14:59+00:00,2022-06-01 21:00:00+00:00,"[4.17878, 51.93929]",BRITH,51,636093112,POINT (4.17878 51.93929)
90,2022-06-01 21:09:54+00:00,2022-06-01 21:00:00+00:00,"[4.16785, 51.94461]",BRITH,51,636093112,POINT (4.16785 51.94461)
92,2022-06-01 22:30:16+00:00,2022-06-01 23:00:00+00:00,"[4.14332, 51.95618]",CKVTTI,53,538009893,POINT (4.14332 51.95618)
93,2022-06-01 22:30:13+00:00,2022-06-01 23:00:00+00:00,"[4.14332, 51.95618]",CKVTTI,53,538009893,POINT (4.14332 51.95618)
94,2022-06-01 22:20:15+00:00,2022-06-01 22:00:00+00:00,"[4.07775, 51.97954]",BENE,54,538006197,POINT (4.07775 51.97954)
95,2022-06-01 22:20:20+00:00,2022-06-01 22:00:00+00:00,"[4.07775, 51.97954]",BENE,54,538006197,POINT (4.07775 51.97954)
96,2022-06-01 22:20:20+00:00,2022-06-01 22:00:00+00:00,"[4.07775, 51.97954]",BENE,54,538006197,POINT (4.07775 51.97954)
97,2022-06-01 22:30:16+00:00,2022-06-01 23:00:00+00:00,"[4.29332, 51.89651]",TORONT,55,566179000,POINT (4.29332 51.89651)
112,2022-06-02 01:37:15+00:00,2022-06-02 02:00:00+00:00,"[4.28724, 51.89778]",3PET,63,231701000,POINT (4.28724 51.89778)
115,2022-06-02 02:53:18+00:00,2022-06-02 03:00:00+00:00,"[4.07889, 51.97777]",AMALIA,65,563417000,POINT (4.07889 51.97777)
116,2022-06-02 03:59:03+00:00,2022-06-02 04:00:00+00:00,"[4.06638, 51.98258]",AMALIA,66,636018059,POINT (4.06638 51.98258)
117,2022-06-02 04:04:10+00:00,2022-06-02 04:00:00+00:00,"[4.0832, 51.977]",AMALIA,66,636018059,POINT (4.0832 51.977)
118,2022-06-02 02:58:20+00:00,2022-06-02 03:00:00+00:00,"[4.11723, 51.96741]",7PET,67,477112400,POINT (4.11723 51.96741)
119,2022-06-02 02:43:13+00:00,2022-06-02 03:00:00+00:00,"[4.08255, 51.97707]",7PET,67,477112400,POINT (4.08255 51.97707)
130,2022-06-02 07:00:29+00:00,2022-06-02 07:00:00+00:00,"[4.06478, 51.98316]",AMAZ,73,538007476,POINT (4.06478 51.98316)
131,2022-06-02 07:00:37+00:00,2022-06-02 07:00:00+00:00,"[4.06478, 51.98316]",AMAZ,73,538007476,POINT (4.06478 51.98316)
132,2022-06-02 07:05:51+00:00,2022-06-02 07:00:00+00:00,"[4.07707, 51.9791]",AMAZ,73,538007476,POINT (4.07707 51.9791)
137,2022-06-02 08:01:33+00:00,2022-06-02 08:00:00+00:00,"[4.08626, 51.9665]",AMAZ,75,354654000,POINT (4.08626 51.9665)
138,2022-06-02 07:46:16+00:00,2022-06-02 08:00:00+00:00,"[4.0622, 51.98393]",AMAZ,75,354654000,POINT (4.0622 51.98393)
139,2022-06-02 07:46:21+00:00,2022-06-02 08:00:00+00:00,"[4.0622, 51.98393]",AMAZ,75,354654000,POINT (4.0622 51.98393)
142,2022-06-02 09:17:28+00:00,2022-06-02 09:00:00+00:00,"[4.05974, 51.98401]",AMAZ,77,636019304,POINT (4.05974 51.98401)
143,2022-06-02 08:42:06+00:00,2022-06-02 09:00:00+00:00,"[4.05339, 51.98647]",LNG,78,563125700,POINT (4.05339 51.98647)
144,2022-06-02 08:41:54+00:00,2022-06-02 09:00:00+00:00,"[4.05339, 51.98647]",LNG,78,563125700,POINT (4.05339 51.98647)
145,2022-06-02 08:42:05+00:00,2022-06-02 09:00:00+00:00,"[4.05339, 51.98647]",LNG,78,563125700,POINT (4.05339 51.98647)
146,2022-06-02 08:42:01+00:00,2022-06-02 09:00:00+00:00,"[4.05339, 51.98647]",LNG,78,563125700,POINT (4.05339 51.98647)
147,2022-06-02 09:17:35+00:00,2022-06-02 09:00:00+00:00,"[4.33355, 51.89375]",WILT,79,244315000,POINT (4.33355 51.89375)
148,2022-06-02 09:20:37+00:00,2022-06-02 09:00:00+00:00,"[4.34155, 51.89508]",WILT,79,244315000,POINT (4.34155 51.89508)
149,2022-06-02 09:42:41+00:00,2022-06-02 10:00:00+00:00,"[4.08338, 51.97565]",EURO,80,219678000,POINT (4.08338 51.97565)
157,2022-06-02 10:33:21+00:00,2022-06-02 11:00:00+00:00,"[4.06156, 51.98386]",MISS,85,538009160,POINT (4.06156 51.98386)
158,2022-06-02 10:33:11+00:00,2022-06-02 11:00:00+00:00,"[4.06156, 51.98386]",MISS,85,538009160,POINT (4.06156 51.98386)
159,2022-06-02 10:48:23+00:00,2022-06-02 11:00:00+00:00,"[4.1706, 51.94334]",DONAU,86,247373700,POINT (4.1706 51.94334)
160,2022-06-02 11:38:59+00:00,2022-06-02 12:00:00+00:00,"[4.08544, 51.97168]",EURO,87,255806169,POINT (4.08544 51.97168)
161,2022-06-02 11:38:57+00:00,2022-06-02 12:00:00+00:00,"[4.05543, 51.98487]",PET8,88,249981000,POINT (4.05543 51.98487)
162,2022-06-02 11:38:59+00:00,2022-06-02 12:00:00+00:00,"[4.05543, 51.98487]",PET8,88,249981000,POINT (4.05543 51.98487)
167,2022-06-02 14:00:45+00:00,2022-06-02 14:00:00+00:00,"[4.28285, 51.89834]",CHEM,91,566017000,POINT (4.28285 51.89834)
170,2022-06-02 14:26:16+00:00,2022-06-02 14:00:00+00:00,"[4.35005, 51.8968]",NMSTAD,93,255806288,POINT (4.35005 51.8968)
171,2022-06-02 13:19:59+00:00,2022-06-02 13:00:00+00:00,"[4.0692, 51.98183]",YANG,94,311000151,POINT (4.0692 51.98183)
172,2022-06-02 13:20:00+00:00,2022-06-02 13:00:00+00:00,"[4.0692, 51.98183]",YANG,94,311000151,POINT (4.0692 51.98183)
173,2022-06-02 13:19:58+00:00,2022-06-02 13:00:00+00:00,"[4.0692, 51.98183]",YANG,94,311000151,POINT (4.0692 51.98183)
174,2022-06-02 14:36:27+00:00,2022-06-02 15:00:00+00:00,"[4.40785, 51.89886]",WAAL,95,244638000,POINT (4.40785 51.89886)
175,2022-06-02 14:50:39+00:00,2022-06-02 15:00:00+00:00,"[4.29396, 51.89664]",3PET,96,257107350,POINT (4.29396 51.89664)
176,2022-06-02 14:46:37+00:00,2022-06-02 15:00:00+00:00,"[4.28302, 51.89895]",3PET,96,257107350,POINT (4.28302 51.89895)
177,2022-06-02 15:52:41+00:00,2022-06-02 16:00:00+00:00,"[4.06963, 51.9817]",EURO,97,367759000,POINT (4.06963 51.9817)
178,2022-06-02 15:52:37+00:00,2022-06-02 16:00:00+00:00,"[4.06963, 51.9817]",EURO,97,367759000,POINT (4.06963 51.9817)
182,2022-06-02 16:32:47+00:00,2022-06-02 17:00:00+00:00,"[4.29401, 51.896]",3PET,100,538008426,POINT (4.29401 51.896)
183,2022-06-02 16:27:44+00:00,2022-06-02 16:00:00+00:00,"[4.27614, 51.90113]",3PET,100,538008426,POINT (4.27614 51.90113)
185,2022-06-02 15:37:12+00:00,2022-06-02 16:00:00+00:00,"[4.09042, 51.97543]",5PET,102,477814400,POINT (4.09042 51.97543)
186,2022-06-02 15:32:33+00:00,2022-06-02 16:00:00+00:00,"[4.09042, 51.97543]",5PET,102,477814400,POINT (4.09042 51.97543)
187,2022-06-02 15:32:35+00:00,2022-06-02 16:00:00+00:00,"[4.09042, 51.97543]",5PET,102,477814400,POINT (4.09042 51.97543)
188,2022-06-02 15:37:31+00:00,2022-06-02 16:00:00+00:00,"[4.08104, 51.97842]",5PET,102,477814400,POINT (4.08104 51.97842)
189,2022-06-02 17:08:16+00:00,2022-06-02 17:00:00+00:00,"[4.0711, 51.98123]",YANG,103,228335900,POINT (4.0711 51.98123)
190,2022-06-02 17:13:12+00:00,2022-06-02 17:00:00+00:00,"[4.08226, 51.9763]",YANG,103,228335900,POINT (4.08226 51.9763)
201,2022-06-02 19:40:20+00:00,2022-06-02 20:00:00+00:00,"[4.09057, 51.97619]",4PET,109,538008708,POINT (4.09057 51.97619)
202,2022-06-02 19:40:13+00:00,2022-06-02 20:00:00+00:00,"[4.09057, 51.97619]",4PET,109,538008708,POINT (4.09057 51.97619)
203,2022-06-02 20:20:38+00:00,2022-06-02 20:00:00+00:00,"[4.59754, 51.69841]",,110,636021702,POINT (4.59754 51.69841)
204,2022-06-02 20:15:33+00:00,2022-06-02 20:00:00+00:00,"[4.60966, 51.7043]",,110,636021702,POINT (4.60966 51.7043)
205,2022-06-02 21:11:12+00:00,2022-06-02 21:00:00+00:00,"[4.08234, 51.96326]",EURO,111,205772000,POINT (4.08234 51.96326)
206,2022-06-02 21:20:50+00:00,2022-06-02 21:00:00+00:00,"[4.05308, 51.96068]",EURO,111,205772000,POINT (4.05308 51.96068)
221,2022-06-02 23:57:55+00:00,2022-06-03 00:00:00+00:00,"[4.40338, 51.89769]",WAAL,121,538003323,POINT (4.40338 51.89769)
224,2022-06-03 00:58:54+00:00,2022-06-03 01:00:00+00:00,"[4.09562, 51.97384]",SCHEUR,123,636017587,POINT (4.09562 51.97384)
225,2022-06-03 00:48:51+00:00,2022-06-03 01:00:00+00:00,"[4.07273, 51.98126]",SCHEUR,123,636017587,POINT (4.07273 51.98126)
226,2022-06-03 00:48:42+00:00,2022-06-03 01:00:00+00:00,"[4.07273, 51.98126]",SCHEUR,123,636017587,POINT (4.07273 51.98126)
228,2022-06-03 01:03:56+00:00,2022-06-03 01:00:00+00:00,"[4.0862, 51.97406]",AMALIA,125,215185000,POINT (4.0862 51.97406)
229,2022-06-03 00:58:51+00:00,2022-06-03 01:00:00+00:00,"[4.07208, 51.9809]",AMALIA,125,215185000,POINT (4.07208 51.9809)
230,2022-06-03 02:34:46+00:00,2022-06-03 03:00:00+00:00,"[4.28812, 51.89781]",STLAU,126,636014820,POINT (4.28812 51.89781)
231,2022-06-03 02:24:49+00:00,2022-06-03 02:00:00+00:00,"[4.26707, 51.90488]",STLAU,126,636014820,POINT (4.26707 51.90488)
232,2022-06-03 02:29:51+00:00,2022-06-03 02:00:00+00:00,"[4.27785, 51.90068]",STLAU,126,636014820,POINT (4.27785 51.90068)
233,2022-06-03 03:05:16+00:00,2022-06-03 03:00:00+00:00,"[4.12025, 51.96634]",CKVTTI,127,372611000,POINT (4.12025 51.96634)
234,2022-06-03 03:05:18+00:00,2022-06-03 03:00:00+00:00,"[4.12025, 51.96634]",CKVTTI,127,372611000,POINT (4.12025 51.96634)
235,2022-06-03 04:50:40+00:00,2022-06-03 05:00:00+00:00,"[4.4065, 51.88166]",PWAH,128,257615000,POINT (4.4065 51.88166)
237,2022-06-03 05:01:29+00:00,2022-06-03 05:00:00+00:00,"[4.08506, 51.97605]",EURO,130,353051000,POINT (4.08506 51.97605)
238,2022-06-03 05:16:27+00:00,2022-06-03 05:00:00+00:00,"[4.08594, 51.97261]",6PET,131,248043000,POINT (4.08594 51.97261)
242,2022-06-03 06:07:11+00:00,2022-06-03 06:00:00+00:00,"[4.05939, 51.96685]",YANG,133,215079000,POINT (4.05939 51.96685)
245,2022-06-03 06:50:52+00:00,2022-06-03 07:00:00+00:00,"[4.27753, 51.9005]",BOTL,135,248721000,POINT (4.27753 51.9005)
246,2022-06-03 06:47:50+00:00,2022-06-03 07:00:00+00:00,"[4.27104, 51.90318]",BOTL,135,248721000,POINT (4.27104 51.90318)
247,2022-06-03 04:31:16+00:00,2022-06-03 05:00:00+00:00,"[4.13251, 51.96154]",7PET,136,311000449,POINT (4.13251 51.96154)
248,2022-06-03 04:31:12+00:00,2022-06-03 05:00:00+00:00,"[4.13251, 51.96154]",7PET,136,311000449,POINT (4.13251 51.96154)
249,2022-06-03 04:46:20+00:00,2022-06-03 05:00:00+00:00,"[4.16676, 51.94563]",7PET,136,311000449,POINT (4.16676 51.94563)
255,2022-06-03 08:08:48+00:00,2022-06-03 08:00:00+00:00,"[4.06803, 51.98182]",EURO,139,636016999,POINT (4.06803 51.98182)
256,2022-06-03 08:08:49+00:00,2022-06-03 08:00:00+00:00,"[4.06803, 51.98182]",EURO,139,636016999,POINT (4.06803 51.98182)
257,2022-06-03 08:49:14+00:00,2022-06-03 09:00:00+00:00,"[4.40482, 51.89806]",WAAL,140,236202000,POINT (4.40482 51.89806)
262,2022-06-03 07:53:37+00:00,2022-06-03 08:00:00+00:00,"[4.06049, 51.98387]",YANG,143,636018975,POINT (4.06049 51.98387)
263,2022-06-03 07:53:42+00:00,2022-06-03 08:00:00+00:00,"[4.06049, 51.98387]",YANG,143,636018975,POINT (4.06049 51.98387)
264,2022-06-03 07:58:47+00:00,2022-06-03 08:00:00+00:00,"[4.07397, 51.98021]",YANG,143,636018975,POINT (4.07397 51.98021)
273,2022-06-03 11:14:59+00:00,2022-06-03 11:00:00+00:00,"[4.3205, 51.89327]",1PET,148,255801260,POINT (4.3205 51.89327)
274,2022-06-03 11:10:04+00:00,2022-06-03 11:00:00+00:00,"[4.30973, 51.89358]",1PET,148,255801260,POINT (4.30973 51.89358)
275,2022-06-03 09:29:40+00:00,2022-06-03 09:00:00+00:00,"[4.06882, 51.98198]",AMALIA,149,248758000,POINT (4.06882 51.98198)
276,2022-06-03 09:29:43+00:00,2022-06-03 09:00:00+00:00,"[4.06882, 51.98198]",AMALIA,149,248758000,POINT (4.06882 51.98198)
277,2022-06-03 11:10:01+00:00,2022-06-03 11:00:00+00:00,"[4.15751, 51.94958]",7PET,150,636014336,POINT (4.15751 51.94958)
278,2022-06-03 11:04:56+00:00,2022-06-03 11:00:00+00:00,"[4.14462, 51.95574]",7PET,150,636014336,POINT (4.14462 51.95574)
279,2022-06-03 10:54:57+00:00,2022-06-03 11:00:00+00:00,"[4.27973, 51.89978]",STLAU,151,311000564,POINT (4.27973 51.89978)
280,2022-06-03 10:49:55+00:00,2022-06-03 11:00:00+00:00,"[4.27036, 51.90332]",STLAU,151,311000564,POINT (4.27036 51.90332)
284,2022-06-03 12:05:34+00:00,2022-06-03 12:00:00+00:00,"[4.07004, 51.98107]",EURO,154,636016071,POINT (4.07004 51.98107)
285,2022-06-03 12:10:50+00:00,2022-06-03 12:00:00+00:00,"[4.0852, 51.97501]",EURO,154,636016071,POINT (4.0852 51.97501)
294,2022-06-03 13:11:35+00:00,2022-06-03 13:00:00+00:00,"[4.36896, 51.89855]",EEMH,160,219027995,POINT (4.36896 51.89855)
295,2022-06-03 13:32:11+00:00,2022-06-03 14:00:00+00:00,"[4.17339, 51.94211]",7PET,161,538005389,POINT (4.17339 51.94211)
296,2022-06-03 13:22:07+00:00,2022-06-03 13:00:00+00:00,"[4.1492, 51.95359]",7PET,161,538005389,POINT (4.1492 51.95359)
298,2022-06-03 14:37:56+00:00,2022-06-03 15:00:00+00:00,"[4.33812, 51.8938]",1PET,163,566179000,POINT (4.33812 51.8938)
299,2022-06-03 13:52:20+00:00,2022-06-03 14:00:00+00:00,"[4.28286, 51.88647]",1PET,163,566179000,POINT (4.28286 51.88647)
300,2022-06-03 13:37:16+00:00,2022-06-03 14:00:00+00:00,"[4.28221, 51.88704]",NMBOT,163,566179000,POINT (4.28221 51.88704)
301,2022-06-03 13:11:35+00:00,2022-06-03 13:00:00+00:00,"[4.0777, 51.97943]",AMALIA,164,220503000,POINT (4.0777 51.97943)
302,2022-06-03 13:01:28+00:00,2022-06-03 13:00:00+00:00,"[4.0525, 51.98717]",AMALIA,164,220503000,POINT (4.0525 51.98717)
303,2022-06-03 14:42:58+00:00,2022-06-03 15:00:00+00:00,"[4.40824, 51.88266]",BEAT,165,538090454,POINT (4.40824 51.88266)
304,2022-06-03 14:48:06+00:00,2022-06-03 15:00:00+00:00,"[4.38347, 51.89747]",BEAT,165,538090454,POINT (4.38347 51.89747)
307,2022-06-03 15:13:26+00:00,2022-06-03 15:00:00+00:00,"[4.27804, 51.90055]",BOTL,167,538003048,POINT (4.27804 51.90055)
308,2022-06-03 15:08:18+00:00,2022-06-03 15:00:00+00:00,"[4.26515, 51.90521]",BOTL,167,538003048,POINT (4.26515 51.90521)
309,2022-06-03 16:20:51+00:00,2022-06-03 16:00:00+00:00,"[4.40725, 51.88129]",PWAH,168,209276000,POINT (4.40725 51.88129)
314,2022-06-03 16:29:13+00:00,2022-06-03 16:00:00+00:00,"[4.08584, 51.9646]",MISS,171,538005652,POINT (4.08584 51.9646)
315,2022-06-03 16:24:13+00:00,2022-06-03 16:00:00+00:00,"[4.08464, 51.97426]",MISS,171,538005652,POINT (4.08464 51.97426)
316,2022-06-03 17:09:46+00:00,2022-06-03 17:00:00+00:00,"[4.29241, 51.89672]",3PET,172,229883000,POINT (4.29241 51.89672)
317,2022-06-03 17:09:47+00:00,2022-06-03 17:00:00+00:00,"[4.29241, 51.89672]",3PET,172,229883000,POINT (4.29241 51.89672)
320,2022-06-03 17:44:50+00:00,2022-06-03 18:00:00+00:00,"[4.28633, 51.89794]",3PET,174,371809000,POINT (4.28633 51.89794)
321,2022-06-03 17:44:54+00:00,2022-06-03 18:00:00+00:00,"[4.28633, 51.89794]",3PET,174,371809000,POINT (4.28633 51.89794)
329,2022-06-03 21:06:37+00:00,2022-06-03 21:00:00+00:00,"[4.19342, 51.93194]",7PET,180,219129000,POINT (4.19342 51.93194)
334,2022-06-03 20:46:35+00:00,2022-06-03 21:00:00+00:00,"[4.05727, 51.98543]",PET8,183,241089000,POINT (4.05727 51.98543)
335,2022-06-03 20:56:32+00:00,2022-06-03 21:00:00+00:00,"[4.07936, 51.97877]",PET8,183,241089000,POINT (4.07936 51.97877)
336,2022-06-03 20:46:43+00:00,2022-06-03 21:00:00+00:00,"[4.05727, 51.98543]",PET8,183,241089000,POINT (4.05727 51.98543)
337,2022-06-03 21:11:53+00:00,2022-06-03 21:00:00+00:00,"[4.57469, 51.80885]",,184,538008872,POINT (4.57469 51.80885)
340,2022-06-03 22:37:48+00:00,2022-06-03 23:00:00+00:00,"[4.06982, 51.98086]",EURO,186,255806507,POINT (4.06982 51.98086)
341,2022-06-03 22:37:36+00:00,2022-06-03 23:00:00+00:00,"[4.06982, 51.98086]",EURO,186,255806507,POINT (4.06982 51.98086)
342,2022-06-03 22:27:37+00:00,2022-06-03 22:00:00+00:00,"[4.06989, 51.98101]",YANG,187,477423800,POINT (4.06989 51.98101)
343,2022-06-03 22:27:39+00:00,2022-06-03 22:00:00+00:00,"[4.06989, 51.98101]",YANG,187,477423800,POINT (4.06989 51.98101)
344,2022-06-03 23:20:52+00:00,2022-06-03 23:00:00+00:00,"[4.17296, 51.9425]",BRITH,188,311595000,POINT (4.17296 51.9425)
345,2022-06-03 23:17:51+00:00,2022-06-03 23:00:00+00:00,"[4.16546, 51.94615]",BRITH,188,311595000,POINT (4.16546 51.94615)
348,2022-06-03 23:53:35+00:00,2022-06-04 00:00:00+00:00,"[4.06153, 51.98384]",EURO,190,219210000,POINT (4.06153 51.98384)
349,2022-06-03 23:53:35+00:00,2022-06-04 00:00:00+00:00,"[4.06153, 51.98384]",EURO,190,219210000,POINT (4.06153 51.98384)
350,2022-06-03 23:53:33+00:00,2022-06-04 00:00:00+00:00,"[4.06153, 51.98384]",EURO,190,219210000,POINT (4.06153 51.98384)
351,2022-06-04 00:23:55+00:00,2022-06-04 00:00:00+00:00,"[4.06243, 51.98391]",LNG,191,309481000,POINT (4.06243 51.98391)
352,2022-06-04 00:20:51+00:00,2022-06-04 00:00:00+00:00,"[4.05353, 51.98659]",LNG,191,309481000,POINT (4.05353 51.98659)
353,2022-06-04 00:20:51+00:00,2022-06-04 00:00:00+00:00,"[4.05353, 51.98659]",LNG,191,309481000,POINT (4.05353 51.98659)
354,2022-06-04 00:23:54+00:00,2022-06-04 00:00:00+00:00,"[4.06243, 51.98391]",LNG,191,309481000,POINT (4.06243 51.98391)
356,2022-06-04 02:04:57+00:00,2022-06-04 02:00:00+00:00,"[4.28058, 51.8991]",3PET,193,249210000,POINT (4.28058 51.8991)
357,2022-06-04 02:55:30+00:00,2022-06-04 03:00:00+00:00,"[4.12925, 51.96206]",CKVTTI,194,564045000,POINT (4.12925 51.96206)
358,2022-06-04 03:05:54+00:00,2022-06-04 03:00:00+00:00,"[4.15501, 51.95079]",CKVTTI,194,564045000,POINT (4.15501 51.95079)
359,2022-06-04 02:30:15+00:00,2022-06-04 03:00:00+00:00,"[4.08544, 51.97583]",PET8,195,241348000,POINT (4.08544 51.97583)
360,2022-06-04 02:25:13+00:00,2022-06-04 02:00:00+00:00,"[4.07169, 51.98108]",PET8,195,241348000,POINT (4.07169 51.98108)
363,2022-06-04 03:20:48+00:00,2022-06-04 03:00:00+00:00,"[4.08142, 51.97769]",AMAZ,197,209087000,POINT (4.08142 51.97769)
364,2022-06-04 03:15:57+00:00,2022-06-04 03:00:00+00:00,"[4.07003, 51.9816]",AMAZ,197,209087000,POINT (4.07003 51.9816)
365,2022-06-04 03:46:21+00:00,2022-06-04 04:00:00+00:00,"[4.08727, 51.96633]",EURO,198,209276000,POINT (4.08727 51.96633)
368,2022-06-04 03:20:59+00:00,2022-06-04 03:00:00+00:00,"[4.2846, 51.89825]",3PET,200,215079000,POINT (4.2846 51.89825)
369,2022-06-04 03:00:43+00:00,2022-06-04 03:00:00+00:00,"[4.06359, 51.98345]",YANG,201,310795000,POINT (4.06359 51.98345)
370,2022-06-04 03:00:45+00:00,2022-06-04 03:00:00+00:00,"[4.06359, 51.98345]",YANG,201,310795000,POINT (4.06359 51.98345)
371,2022-06-04 03:00:38+00:00,2022-06-04 03:00:00+00:00,"[4.06359, 51.98345]",YANG,201,310795000,POINT (4.06359 51.98345)
372,2022-06-04 04:36:42+00:00,2022-06-04 05:00:00+00:00,"[4.42737, 51.90183]",NMSTAD,202,538001663,POINT (4.42737 51.90183)
377,2022-06-04 05:11:53+00:00,2022-06-04 05:00:00+00:00,"[4.16442, 51.94641]",7PET,205,372961000,POINT (4.16442 51.94641)
