,to,to_rounded,to_location,from_haven,trip_ID,vessel_mmsi,geometry
13693,2022-10-04 07:50:38+00:00,2022-10-04 06:00:00+00:00,"[4.08561, 51.97399]",AMALIA,7843,228394900,POINT (4.08561 51.97399)
13694,2022-10-04 07:35:21+00:00,2022-10-04 07:00:00+00:00,"[4.14352, 51.95737]",CK5PET,7844,248439000,POINT (4.14352 51.95737)
13695,2022-10-04 07:50:40+00:00,2022-10-04 07:00:00+00:00,"[4.08365, 51.96189]",YANG,7845,257722000,POINT (4.08365 51.96189)
13696,2022-10-04 07:50:40+00:00,2022-10-04 07:00:00+00:00,"[4.08365, 51.96189]",YANG,7845,257722000,POINT (4.08365 51.96189)
13698,2022-10-04 08:27:47+00:00,2022-10-04 08:00:00+00:00,"[4.28429, 51.89994]",3PET,7847,538009703,POINT (4.28429 51.89994)
13701,2022-10-04 08:41:14+00:00,2022-10-04 08:00:00+00:00,"[4.4184, 51.90178]",WAAL,7849,440092000,POINT (4.4184 51.90178)
13703,2022-10-04 07:04:51+00:00,2022-10-04 06:00:00+00:00,"[4.11772, 51.95722]",DINTEL,7851,211475980,POINT (4.11772 51.95722)
13705,2022-10-04 10:38:24+00:00,2022-10-04 10:00:00+00:00,"[4.34899, 51.89716]",NMBOT,7853,538006032,POINT (4.34899 51.89716)
13706,2022-10-04 10:43:24+00:00,2022-10-04 10:00:00+00:00,"[4.33472, 51.89426]",NMBOT,7853,538006032,POINT (4.33472 51.89426)
13716,2022-10-04 12:09:44+00:00,2022-10-04 08:00:00+00:00,"[4.30232, 51.89521]",3PET,7858,636019995,POINT (4.30232 51.89521)
13717,2022-10-04 12:09:34+00:00,2022-10-04 09:00:00+00:00,"[4.30232, 51.89521]",3PET,7858,636019995,POINT (4.30232 51.89521)
13718,2022-10-04 12:35:00+00:00,2022-10-04 12:00:00+00:00,"[4.44757, 51.88018]",WAAL,7859,244770727,POINT (4.44757 51.88018)
13721,2022-10-04 13:40:40+00:00,2022-10-04 13:00:00+00:00,"[4.15403, 51.95221]",CKVTTI,7861,636093016,POINT (4.15403 51.95221)
13722,2022-10-04 14:11:20+00:00,2022-10-04 14:00:00+00:00,"[4.08821, 51.97408]",AMAZ,7862,538003035,POINT (4.08821 51.97408)
13723,2022-10-04 14:31:34+00:00,2022-10-04 13:00:00+00:00,"[4.08539, 51.96402]",EURO,7863,566780000,POINT (4.08539 51.96402)
13731,2022-10-04 17:34:14+00:00,2022-10-04 17:00:00+00:00,"[4.29445, 51.89711]",3PET,7867,548942000,POINT (4.29445 51.89711)
