,to,to_rounded,to_location,from_haven,trip_ID,vessel_mmsi,geometry
3,2022-06-01 00:30:17+00:00,2022-05-31 23:00:00+00:00,"[4.08905, 51.96774]",AMAZ,1,355271000,POINT (4.08905 51.96774)
4,2022-06-01 00:30:17+00:00,2022-05-31 23:00:00+00:00,"[4.08905, 51.96774]",AMAZ,1,355271000,POINT (4.08905 51.96774)
6,2022-06-01 01:05:50+00:00,2022-06-01 01:00:00+00:00,"[4.34927, 51.89759]",NMBOT,3,538008833,POINT (4.34927 51.89759)
7,2022-06-01 01:11:14+00:00,2022-06-01 00:00:00+00:00,"[4.3363, 51.89495]",NMBOT,3,538008833,POINT (4.3363 51.89495)
9,2022-06-01 01:56:25+00:00,2022-06-01 01:00:00+00:00,"[4.08988, 51.96918]",AMAZ,5,636092784,POINT (4.08988 51.96918)
10,2022-06-01 01:56:33+00:00,2022-06-01 01:00:00+00:00,"[4.08988, 51.96918]",AMAZ,5,636092784,POINT (4.08988 51.96918)
11,2022-06-01 01:46:24+00:00,2022-06-01 00:00:00+00:00,"[4.3541, 51.89852]",WAAL,6,564002000,POINT (4.3541 51.89852)
12,2022-06-01 01:31:21+00:00,2022-06-01 00:00:00+00:00,"[4.40205, 51.89847]",WAAL,6,564002000,POINT (4.40205 51.89847)
19,2022-06-01 03:43:14+00:00,2022-06-01 03:00:00+00:00,"[4.32092, 51.89502]",1PET,10,355093000,POINT (4.32092 51.89502)
21,2022-06-01 05:44:17+00:00,2022-06-01 05:00:00+00:00,"[4.20456, 51.92622]",CKBRUG,12,563621000,POINT (4.20456 51.92622)
22,2022-06-01 05:44:23+00:00,2022-06-01 05:00:00+00:00,"[4.20456, 51.92622]",CKBRUG,12,563621000,POINT (4.20456 51.92622)
23,2022-06-01 05:49:17+00:00,2022-06-01 05:00:00+00:00,"[4.32731, 51.89448]",NMBOT,13,319113500,POINT (4.32731 51.89448)
24,2022-06-01 05:49:25+00:00,2022-06-01 05:00:00+00:00,"[4.30042, 51.89562]",CHEM,14,538004628,POINT (4.30042 51.89562)
29,2022-06-01 06:24:37+00:00,2022-06-01 06:00:00+00:00,"[4.19582, 51.93099]",7PET,16,249435000,POINT (4.19582 51.93099)
30,2022-06-01 06:29:54+00:00,2022-06-01 06:00:00+00:00,"[4.18338, 51.93766]",7PET,16,249435000,POINT (4.18338 51.93766)
33,2022-06-01 06:14:28+00:00,2022-06-01 06:00:00+00:00,"[4.10067, 51.97338]",ELBE,18,538008842,POINT (4.10067 51.97338)
34,2022-06-01 06:14:34+00:00,2022-06-01 06:00:00+00:00,"[4.10067, 51.97338]",ELBE,18,538008842,POINT (4.10067 51.97338)
35,2022-06-01 06:14:37+00:00,2022-06-01 05:00:00+00:00,"[4.44441, 51.90163]",MERWE,19,244730196,POINT (4.44441 51.90163)
37,2022-06-01 07:35:17+00:00,2022-06-01 06:00:00+00:00,"[4.34127, 51.89578]",NMBOT,21,538003550,POINT (4.34127 51.89578)
39,2022-06-01 08:00:24+00:00,2022-06-01 07:00:00+00:00,"[4.19611, 51.93175]",CK7PET,23,538008703,POINT (4.19611 51.93175)
40,2022-06-01 08:25:37+00:00,2022-06-01 08:00:00+00:00,"[4.12698, 51.96498]",CK7PET,23,538008703,POINT (4.12698 51.96498)
41,2022-06-01 08:45:39+00:00,2022-06-01 08:00:00+00:00,"[4.07867, 51.97983]",EURO,24,255805787,POINT (4.07867 51.97983)
52,2022-06-01 11:32:44+00:00,2022-06-01 11:00:00+00:00,"[4.58912, 51.6938]",,30,246668000,POINT (4.58912 51.6938)
55,2022-06-01 12:02:33+00:00,2022-06-01 09:00:00+00:00,"[4.5912, 51.69612]",,32,245852000,POINT (4.5912 51.69612)
56,2022-06-01 12:44:09+00:00,2022-06-01 11:00:00+00:00,"[4.08293, 51.9581]",YANG,33,477172700,POINT (4.08293 51.9581)
57,2022-06-01 12:49:17+00:00,2022-06-01 11:00:00+00:00,"[4.08733, 51.96589]",YANG,33,477172700,POINT (4.08733 51.96589)
66,2022-06-01 15:56:36+00:00,2022-06-01 14:00:00+00:00,"[4.07832, 51.97873]",AMALIA,39,353155000,POINT (4.07832 51.97873)
67,2022-06-01 15:56:38+00:00,2022-06-01 14:00:00+00:00,"[4.07832, 51.97873]",AMALIA,39,353155000,POINT (4.07832 51.97873)
71,2022-06-01 18:18:13+00:00,2022-06-01 16:00:00+00:00,"[4.07899, 51.97882]",AMALIA,42,636020332,POINT (4.07899 51.97882)
72,2022-06-01 18:18:17+00:00,2022-06-01 17:00:00+00:00,"[4.07899, 51.97882]",AMALIA,42,636020332,POINT (4.07899 51.97882)
75,2022-06-01 19:43:54+00:00,2022-06-01 18:00:00+00:00,"[4.24721, 51.91347]",BOTL,44,636014672,POINT (4.24721 51.91347)
76,2022-06-01 19:53:49+00:00,2022-06-01 19:00:00+00:00,"[4.20469, 51.93807]",BOTL,44,636014672,POINT (4.20469 51.93807)
85,2022-06-01 20:19:10+00:00,2022-06-01 17:00:00+00:00,"[4.60262, 51.89161]",NMSTAD,49,244660105,POINT (4.60262 51.89161)
86,2022-06-01 20:24:15+00:00,2022-06-01 17:00:00+00:00,"[4.60435, 51.8918]",NMSTAD,49,244660105,POINT (4.60435 51.8918)
91,2022-06-01 23:05:34+00:00,2022-06-01 22:00:00+00:00,"[4.30056, 51.89561]",TORONT,52,636020424,POINT (4.30056 51.89561)
98,2022-06-02 01:01:56+00:00,2022-06-02 00:00:00+00:00,"[4.07853, 51.97885]",PET8,56,240565000,POINT (4.07853 51.97885)
99,2022-06-02 01:01:59+00:00,2022-06-02 00:00:00+00:00,"[4.07853, 51.97885]",PET8,56,240565000,POINT (4.07853 51.97885)
101,2022-06-02 01:01:58+00:00,2022-06-02 00:00:00+00:00,"[4.27927, 51.90103]",3PET,58,241231000,POINT (4.27927 51.90103)
102,2022-06-02 00:56:57+00:00,2022-06-02 00:00:00+00:00,"[4.29857, 51.89597]",3PET,58,241231000,POINT (4.29857 51.89597)
103,2022-06-02 01:57:36+00:00,2022-06-02 01:00:00+00:00,"[4.0897, 51.97082]",6PET,59,538009443,POINT (4.0897 51.97082)
104,2022-06-02 01:52:33+00:00,2022-06-02 01:00:00+00:00,"[4.08533, 51.96083]",6PET,59,538009443,POINT (4.08533 51.96083)
105,2022-06-02 02:02:39+00:00,2022-06-02 01:00:00+00:00,"[4.07874, 51.9607]",AMALIA,60,636017045,POINT (4.07874 51.9607)
106,2022-06-02 02:12:57+00:00,2022-06-02 00:00:00+00:00,"[4.08444, 51.95678]",AMAZ,61,431654000,POINT (4.08444 51.95678)
107,2022-06-02 02:17:57+00:00,2022-06-02 01:00:00+00:00,"[4.087, 51.96415]",AMAZ,61,431654000,POINT (4.087 51.96415)
108,2022-06-02 02:27:57+00:00,2022-06-02 01:00:00+00:00,"[4.07944, 51.97937]",AMAZ,61,431654000,POINT (4.07944 51.97937)
109,2022-06-02 02:12:57+00:00,2022-06-02 00:00:00+00:00,"[4.14647, 51.95538]",5PET,62,538006613,POINT (4.14647 51.95538)
110,2022-06-02 02:43:14+00:00,2022-06-02 01:00:00+00:00,"[4.10366, 51.97267]",5PET,62,538006613,POINT (4.10366 51.97267)
111,2022-06-02 02:38:15+00:00,2022-06-02 00:00:00+00:00,"[4.11452, 51.9694]",5PET,62,538006613,POINT (4.11452 51.9694)
113,2022-06-02 03:03:21+00:00,2022-06-02 02:00:00+00:00,"[4.09572, 51.97467]",4PET,64,215870000,POINT (4.09572 51.97467)
114,2022-06-02 02:58:19+00:00,2022-06-02 03:00:00+00:00,"[4.11897, 51.96846]",4PET,64,215870000,POINT (4.11897 51.96846)
120,2022-06-02 06:14:56+00:00,2022-06-02 05:00:00+00:00,"[4.07124, 51.98319]",PET8,68,538007563,POINT (4.07124 51.98319)
121,2022-06-02 06:14:59+00:00,2022-06-02 05:00:00+00:00,"[4.07124, 51.98319]",PET8,68,538007563,POINT (4.07124 51.98319)
122,2022-06-02 06:30:11+00:00,2022-06-02 05:00:00+00:00,"[4.29281, 51.89686]",STLAU,69,538007927,POINT (4.29281 51.89686)
123,2022-06-02 06:30:12+00:00,2022-06-02 05:00:00+00:00,"[4.29281, 51.89686]",STLAU,69,538007927,POINT (4.29281 51.89686)
124,2022-06-02 06:50:37+00:00,2022-06-02 05:00:00+00:00,"[4.08052, 51.97818]",AMAZ,70,218366000,POINT (4.08052 51.97818)
125,2022-06-02 06:45:18+00:00,2022-06-02 05:00:00+00:00,"[4.08784, 51.96691]",AMAZ,70,218366000,POINT (4.08784 51.96691)
126,2022-06-02 06:30:11+00:00,2022-06-02 05:00:00+00:00,"[4.08805, 51.97029]",MISS,71,636018974,POINT (4.08805 51.97029)
127,2022-06-02 06:30:13+00:00,2022-06-02 05:00:00+00:00,"[4.08805, 51.97029]",MISS,71,636018974,POINT (4.08805 51.97029)
128,2022-06-02 08:31:57+00:00,2022-06-02 07:00:00+00:00,"[4.08793, 51.96852]",YANG,72,636018703,POINT (4.08793 51.96852)
129,2022-06-02 08:31:56+00:00,2022-06-02 07:00:00+00:00,"[4.08793, 51.96852]",YANG,72,636018703,POINT (4.08793 51.96852)
152,2022-06-02 10:50:47+00:00,2022-06-02 10:00:00+00:00,"[4.07457, 51.96233]",YANG,82,370467000,POINT (4.07457 51.96233)
153,2022-06-02 11:13:37+00:00,2022-06-02 10:00:00+00:00,"[4.0657, 51.98408]",YANG,82,370467000,POINT (4.0657 51.98408)
154,2022-06-02 11:23:47+00:00,2022-06-02 11:00:00+00:00,"[4.30897, 51.88655]",3PET,83,538005077,POINT (4.30897 51.88655)
155,2022-06-02 11:28:51+00:00,2022-06-02 10:00:00+00:00,"[4.0703, 51.96113]",EURO,84,636021155,POINT (4.0703 51.96113)
156,2022-06-02 11:39:00+00:00,2022-06-02 10:00:00+00:00,"[4.09003, 51.97183]",EURO,84,636021155,POINT (4.09003 51.97183)
163,2022-06-02 13:55:40+00:00,2022-06-02 11:00:00+00:00,"[4.07233, 51.96167]",EURO,89,477711600,POINT (4.07233 51.96167)
164,2022-06-02 14:05:57+00:00,2022-06-02 13:00:00+00:00,"[4.0835, 51.9735]",EURO,89,477711600,POINT (4.0835 51.9735)
168,2022-06-02 15:27:27+00:00,2022-06-02 14:00:00+00:00,"[4.29925, 51.89586]",STLAU,92,538005675,POINT (4.29925 51.89586)
169,2022-06-02 15:32:35+00:00,2022-06-02 14:00:00+00:00,"[4.28488, 51.89939]",STLAU,92,538005675,POINT (4.28488 51.89939)
179,2022-06-02 17:18:17+00:00,2022-06-02 17:00:00+00:00,"[4.12953, 51.96294]",5PET,98,538005902,POINT (4.12953 51.96294)
180,2022-06-02 17:08:14+00:00,2022-06-02 17:00:00+00:00,"[4.15918, 51.9495]",5PET,98,538005902,POINT (4.15918 51.9495)
181,2022-06-02 17:08:14+00:00,2022-06-02 16:00:00+00:00,"[4.3851, 51.89787]",PWAH,99,255805553,POINT (4.3851 51.89787)
191,2022-06-02 19:14:55+00:00,2022-06-02 18:00:00+00:00,"[4.01378, 51.97592]",AMALIA,104,563417000,POINT (4.01378 51.97592)
192,2022-06-02 19:14:56+00:00,2022-06-02 19:00:00+00:00,"[4.01378, 51.97592]",AMALIA,104,563417000,POINT (4.01378 51.97592)
195,2022-06-02 20:15:33+00:00,2022-06-02 19:00:00+00:00,"[4.18399, 51.93707]",BRITH,106,636093112,POINT (4.18399 51.93707)
196,2022-06-02 20:10:39+00:00,2022-06-02 19:00:00+00:00,"[4.19592, 51.93093]",BRITH,106,636093112,POINT (4.19592 51.93093)
207,2022-06-02 20:10:33+00:00,2022-06-02 18:00:00+00:00,"[4.08288, 51.96233]",EURO,112,219678000,POINT (4.08288 51.96233)
208,2022-06-02 20:50:40+00:00,2022-06-02 21:00:00+00:00,"[4.1145, 51.96924]",SCHEUR,113,636017382,POINT (4.1145 51.96924)
209,2022-06-02 20:56:06+00:00,2022-06-02 21:00:00+00:00,"[4.09205, 51.97646]",SCHEUR,113,636017382,POINT (4.09205 51.97646)
210,2022-06-02 22:42:20+00:00,2022-06-02 22:00:00+00:00,"[4.34185, 51.89637]",PWAH,114,245546000,POINT (4.34185 51.89637)
211,2022-06-03 01:04:05+00:00,2022-06-02 22:00:00+00:00,"[4.14601, 51.95163]",NMBOT,115,220530000,POINT (4.14601 51.95163)
212,2022-06-03 01:40:13.254000+00:00,2022-06-02 22:00:00+00:00,"[4.14599, 51.95159]",NMBOT,115,220530000,POINT (4.14599 51.95159)
213,2022-06-02 22:57:16+00:00,2022-06-02 23:00:00+00:00,"[4.4092, 51.88087]",PWAH,116,255802760,POINT (4.4092 51.88087)
214,2022-06-02 23:27:47+00:00,2022-06-02 23:00:00+00:00,"[4.3473, 51.89707]",2PET,117,538008703,POINT (4.3473 51.89707)
215,2022-06-02 23:37:47+00:00,2022-06-02 21:00:00+00:00,"[4.30756, 51.89574]",2PET,117,538008703,POINT (4.30756 51.89574)
219,2022-06-03 01:29:27+00:00,2022-06-03 00:00:00+00:00,"[4.08688, 51.96655]",AMALIA,120,636018059,POINT (4.08688 51.96655)
220,2022-06-03 01:20:42+00:00,2022-06-03 00:00:00+00:00,"[4.07051, 51.96219]",AMALIA,120,636018059,POINT (4.07051 51.96219)
227,2022-06-03 02:19:53+00:00,2022-06-03 01:00:00+00:00,"[4.08341, 51.95961]",EURO,124,352140000,POINT (4.08341 51.95961)
236,2022-06-03 05:41:50+00:00,2022-06-03 05:00:00+00:00,"[4.08492, 51.96406]",EURO,129,319113500,POINT (4.08492 51.96406)
243,2022-06-03 08:03:49+00:00,2022-06-03 07:00:00+00:00,"[4.08861, 51.96848]",EURO,134,255806169,POINT (4.08861 51.96848)
244,2022-06-03 07:53:43+00:00,2022-06-03 08:00:00+00:00,"[4.08279, 51.96142]",EURO,134,255806169,POINT (4.08279 51.96142)
250,2022-06-03 08:03:49+00:00,2022-06-03 06:00:00+00:00,"[4.02503, 51.9735]",YANG,137,311000151,POINT (4.02503 51.9735)
251,2022-06-03 08:43:59+00:00,2022-06-03 07:00:00+00:00,"[4.08752, 51.9733]",YANG,137,311000151,POINT (4.08752 51.9733)
252,2022-06-03 08:44:04+00:00,2022-06-03 07:00:00+00:00,"[4.08752, 51.9733]",YANG,137,311000151,POINT (4.08752 51.9733)
253,2022-06-03 08:49:20+00:00,2022-06-03 08:00:00+00:00,"[4.08884, 51.96931]",EURO,138,538008568,POINT (4.08884 51.96931)
254,2022-06-03 08:49:14+00:00,2022-06-03 08:00:00+00:00,"[4.08884, 51.96931]",EURO,138,538008568,POINT (4.08884 51.96931)
258,2022-06-03 10:14:51+00:00,2022-06-03 09:00:00+00:00,"[4.14289, 51.95693]",5PET,141,538008311,POINT (4.14289 51.95693)
259,2022-06-03 10:14:56+00:00,2022-06-03 09:00:00+00:00,"[4.14289, 51.95693]",5PET,141,538008311,POINT (4.14289 51.95693)
267,2022-06-03 10:54:57+00:00,2022-06-03 10:00:00+00:00,"[4.08707, 51.9653]",PET8,145,240646000,POINT (4.08707 51.9653)
268,2022-06-03 10:59:57+00:00,2022-06-03 10:00:00+00:00,"[4.08907, 51.9726]",PET8,145,240646000,POINT (4.08907 51.9726)
269,2022-06-03 10:54:57+00:00,2022-06-03 10:00:00+00:00,"[4.08707, 51.9653]",PET8,145,240646000,POINT (4.08707 51.9653)
270,2022-06-03 11:14:13+00:00,2022-06-03 11:00:00+00:00,"[4.32869, 51.89438]",1PET,146,220637000,POINT (4.32869 51.89438)
271,2022-06-03 11:30:19+00:00,2022-06-03 10:00:00+00:00,"[4.05228, 51.98754]",LNG,147,563125700,POINT (4.05228 51.98754)
272,2022-06-03 11:30:13+00:00,2022-06-03 10:00:00+00:00,"[4.05228, 51.98754]",LNG,147,563125700,POINT (4.05228 51.98754)
281,2022-06-03 12:20:47+00:00,2022-06-03 11:00:00+00:00,"[4.06632, 51.96118]",EURO,152,311031900,POINT (4.06632 51.96118)
282,2022-06-03 12:41:21+00:00,2022-06-03 11:00:00+00:00,"[4.08767, 51.96754]",AMALIA,153,636017433,POINT (4.08767 51.96754)
283,2022-06-03 12:41:19+00:00,2022-06-03 11:00:00+00:00,"[4.08767, 51.96754]",AMALIA,153,636017433,POINT (4.08767 51.96754)
286,2022-06-03 13:11:37+00:00,2022-06-03 13:00:00+00:00,"[4.29228, 51.89755]",3PET,155,538008426,POINT (4.29228 51.89755)
287,2022-06-03 13:32:13+00:00,2022-06-03 13:00:00+00:00,"[4.06936, 51.96179]",ARIANE,156,215185000,POINT (4.06936 51.96179)
288,2022-06-03 13:37:11+00:00,2022-06-03 13:00:00+00:00,"[4.08104, 51.96207]",AMALIA,156,215185000,POINT (4.08104 51.96207)
289,2022-06-03 13:57:24+00:00,2022-06-03 13:00:00+00:00,"[4.08652, 51.96199]",AMAZ,157,636019304,POINT (4.08652 51.96199)
290,2022-06-03 14:37:57+00:00,2022-06-03 13:00:00+00:00,"[4.27907, 51.90101]",BOTL,158,538005652,POINT (4.27907 51.90101)
291,2022-06-03 14:37:55+00:00,2022-06-03 12:00:00+00:00,"[4.27907, 51.90101]",BOTL,158,538005652,POINT (4.27907 51.90101)
292,2022-06-03 14:27:52+00:00,2022-06-03 14:00:00+00:00,"[4.08569, 51.96447]",EURO,159,367759000,POINT (4.08569 51.96447)
293,2022-06-03 14:32:47+00:00,2022-06-03 13:00:00+00:00,"[4.08595, 51.97305]",EURO,159,367759000,POINT (4.08595 51.97305)
297,2022-06-03 14:58:10+00:00,2022-06-03 15:00:00+00:00,"[4.29888, 51.89623]",3PET,162,231701000,POINT (4.29888 51.89623)
305,2022-06-03 15:38:37+00:00,2022-06-03 15:00:00+00:00,"[4.09408, 51.97486]",4PET,166,220530000,POINT (4.09408 51.97486)
306,2022-06-03 15:38:39+00:00,2022-06-03 15:00:00+00:00,"[4.09408, 51.97486]",4PET,166,220530000,POINT (4.09408 51.97486)
310,2022-06-03 16:59:16+00:00,2022-06-03 16:00:00+00:00,"[4.08822, 51.97025]",YANG,169,636019662,POINT (4.08822 51.97025)
311,2022-06-03 16:59:26+00:00,2022-06-03 16:00:00+00:00,"[4.08822, 51.97025]",YANG,169,636019662,POINT (4.08822 51.97025)
312,2022-06-03 17:14:51+00:00,2022-06-03 16:00:00+00:00,"[4.08298, 51.97739]",AMAZ,170,218854000,POINT (4.08298 51.97739)
313,2022-06-03 17:14:46+00:00,2022-06-03 16:00:00+00:00,"[4.08298, 51.97739]",AMAZ,170,218854000,POINT (4.08298 51.97739)
318,2022-06-03 18:50:16+00:00,2022-06-03 18:00:00+00:00,"[4.08864, 51.97007]",PET8,173,249981000,POINT (4.08864 51.97007)
319,2022-06-03 18:55:16+00:00,2022-06-03 18:00:00+00:00,"[4.07544, 51.98125]",PET8,173,249981000,POINT (4.07544 51.98125)
324,2022-06-03 18:15:01+00:00,2022-06-03 18:00:00+00:00,"[4.3643, 51.90008]",NMSTAD,176,255806288,POINT (4.3643 51.90008)
326,2022-06-03 20:50:43+00:00,2022-06-03 20:00:00+00:00,"[4.19638, 51.93055]",7PET,178,477112400,POINT (4.19638 51.93055)
327,2022-06-03 21:47:14+00:00,2022-06-03 21:00:00+00:00,"[4.41063, 51.90019]",WAAL,179,563621000,POINT (4.41063 51.90019)
328,2022-06-03 21:42:08+00:00,2022-06-03 21:00:00+00:00,"[4.42963, 51.90209]",WAAL,179,563621000,POINT (4.42963 51.90209)
330,2022-06-03 22:02:21+00:00,2022-06-03 21:00:00+00:00,"[4.111, 51.97007]",BENE,181,563509000,POINT (4.111 51.97007)
331,2022-06-03 22:12:27+00:00,2022-06-03 21:00:00+00:00,"[4.07432, 51.98159]",BENE,181,563509000,POINT (4.07432 51.98159)
332,2022-06-03 22:27:36+00:00,2022-06-03 21:00:00+00:00,"[4.07734, 51.98017]",YANG,182,477274400,POINT (4.07734 51.98017)
333,2022-06-03 22:32:38+00:00,2022-06-03 22:00:00+00:00,"[4.06012, 51.98637]",YANG,182,477274400,POINT (4.06012 51.98637)
346,2022-06-04 01:34:53+00:00,2022-06-04 01:00:00+00:00,"[4.31942, 51.8948]",1PET,189,564045000,POINT (4.31942 51.8948)
347,2022-06-04 01:39:48+00:00,2022-06-04 01:00:00+00:00,"[4.30146, 51.89634]",1PET,189,564045000,POINT (4.30146 51.89634)
355,2022-06-04 01:29:55+00:00,2022-06-04 01:00:00+00:00,"[4.05162, 51.97108]",YANG,192,215079000,POINT (4.05162 51.97108)
361,2022-06-04 04:06:20+00:00,2022-06-04 03:00:00+00:00,"[4.30145, 51.89391]",BOTL,196,636021582,POINT (4.30145 51.89391)
362,2022-06-04 04:11:15+00:00,2022-06-04 03:00:00+00:00,"[4.29092, 51.89827]",BOTL,196,636021582,POINT (4.29092 51.89827)
366,2022-06-04 04:26:40+00:00,2022-06-04 03:00:00+00:00,"[4.02598, 51.97343]",AMALIA,199,636016999,POINT (4.02598 51.97343)
367,2022-06-04 04:56:55+00:00,2022-06-04 03:00:00+00:00,"[4.08774, 51.97271]",AMALIA,199,636016999,POINT (4.08774 51.97271)
373,2022-06-04 05:42:24+00:00,2022-06-04 05:00:00+00:00,"[4.32754, 51.89408]",NMBOT,203,565873000,POINT (4.32754 51.89408)
374,2022-06-04 05:37:18+00:00,2022-06-04 05:00:00+00:00,"[4.34221, 51.89596]",NMBOT,203,565873000,POINT (4.34221 51.89596)
375,2022-06-04 06:18:13+00:00,2022-06-04 05:00:00+00:00,"[4.40428, 51.8988]",WAAL,204,355157000,POINT (4.40428 51.8988)
376,2022-06-04 06:18:11+00:00,2022-06-04 05:00:00+00:00,"[4.40428, 51.8988]",WAAL,204,355157000,POINT (4.40428 51.8988)
388,2022-06-04 09:20:55+00:00,2022-06-04 08:00:00+00:00,"[4.29914, 51.89667]",1PET,211,352001135,POINT (4.29914 51.89667)
389,2022-06-04 09:14:58+00:00,2022-06-04 08:00:00+00:00,"[4.32195, 51.89417]",1PET,211,352001135,POINT (4.32195 51.89417)
399,2022-06-04 10:16:14+00:00,2022-06-04 10:00:00+00:00,"[4.13863, 51.9546]",4PET,217,538008708,POINT (4.13863 51.9546)
400,2022-06-04 10:16:20+00:00,2022-06-04 10:00:00+00:00,"[4.13863, 51.9546]",4PET,217,538008708,POINT (4.13863 51.9546)
401,2022-06-04 11:26:56+00:00,2022-06-04 11:00:00+00:00,"[4.12457, 51.9649]",BENE,218,538006197,POINT (4.12457 51.9649)
402,2022-06-04 11:32:01+00:00,2022-06-04 11:00:00+00:00,"[4.11013, 51.97033]",BENE,218,538006197,POINT (4.11013 51.97033)
403,2022-06-04 11:42:13+00:00,2022-06-04 11:00:00+00:00,"[4.08274, 51.97634]",MISS,219,352071000,POINT (4.08274 51.97634)
404,2022-06-04 11:42:11+00:00,2022-06-04 11:00:00+00:00,"[4.08274, 51.97634]",BEERK,219,352071000,POINT (4.08274 51.97634)
406,2022-06-04 12:20:57+00:00,2022-06-04 12:00:00+00:00,"[4.29975, 51.89503]",3PET,221,357299000,POINT (4.29975 51.89503)
410,2022-06-04 12:58:06+00:00,2022-06-04 12:00:00+00:00,"[4.08481, 51.97601]",YANG,224,636018975,POINT (4.08481 51.97601)
411,2022-06-04 12:52:55+00:00,2022-06-04 12:00:00+00:00,"[4.08783, 51.9666]",YANG,224,636018975,POINT (4.08783 51.9666)
416,2022-06-04 13:53:49+00:00,2022-06-04 13:00:00+00:00,"[4.19398, 51.9322]",7PET,227,636014336,POINT (4.19398 51.9322)
417,2022-06-04 13:48:47+00:00,2022-06-04 13:00:00+00:00,"[4.20283, 51.92738]",7PET,227,636014336,POINT (4.20283 51.92738)
427,2022-06-04 16:05:02+00:00,2022-06-04 13:00:00+00:00,"[4.086, 51.97267]",YANG,232,228335900,POINT (4.086 51.97267)
428,2022-06-04 15:59:59+00:00,2022-06-04 13:00:00+00:00,"[4.08574, 51.96313]",YANG,232,228335900,POINT (4.08574 51.96313)
433,2022-06-04 17:00:51+00:00,2022-06-04 16:00:00+00:00,"[4.40595, 51.89928]",NMSTAD,235,538001663,POINT (4.40595 51.89928)
437,2022-06-04 17:20:57+00:00,2022-06-04 16:00:00+00:00,"[4.18071, 51.93849]",7PET,238,311000449,POINT (4.18071 51.93849)
438,2022-06-04 17:15:56+00:00,2022-06-04 16:00:00+00:00,"[4.18993, 51.93426]",7PET,238,311000449,POINT (4.18993 51.93426)
442,2022-06-04 18:50:49+00:00,2022-06-04 17:00:00+00:00,"[4.0845, 51.97642]",EURO,241,353051000,POINT (4.0845 51.97642)
443,2022-06-04 18:42:15+00:00,2022-06-04 17:00:00+00:00,"[4.08652, 51.96466]",EURO,241,353051000,POINT (4.08652 51.96466)
444,2022-06-04 19:02:16+00:00,2022-06-04 18:00:00+00:00,"[4.08751, 51.97049]",YANG,242,310795000,POINT (4.08751 51.97049)
445,2022-06-04 19:07:29+00:00,2022-06-04 17:00:00+00:00,"[4.07748, 51.97981]",YANG,242,310795000,POINT (4.07748 51.97981)
446,2022-06-04 19:27:13+00:00,2022-06-04 19:00:00+00:00,"[4.20158, 51.92828]",BRITH,243,311595000,POINT (4.20158 51.92828)
447,2022-06-04 19:27:54+00:00,2022-06-04 19:00:00+00:00,"[4.20158, 51.92828]",BRITH,243,311595000,POINT (4.20158 51.92828)
453,2022-06-04 20:28:41+00:00,2022-06-04 20:00:00+00:00,"[4.16934, 51.94534]",CKVTTI,247,205772000,POINT (4.16934 51.94534)
455,2022-06-04 21:39:38+00:00,2022-06-04 21:00:00+00:00,"[4.30273, 51.8945]",3PET,249,249210000,POINT (4.30273 51.8945)
456,2022-06-04 23:20:47+00:00,2022-06-04 22:00:00+00:00,"[4.0866, 51.9622]",MISS,250,370604000,POINT (4.0866 51.9622)
457,2022-06-04 23:20:43+00:00,2022-06-04 22:00:00+00:00,"[4.08652, 51.96187]",MISS,250,370604000,POINT (4.08652 51.96187)
458,2022-06-04 23:15:41+00:00,2022-06-04 23:00:00+00:00,"[4.28593, 51.89874]",2WH,251,538005865,POINT (4.28593 51.89874)
459,2022-06-05 00:36:38+00:00,2022-06-04 23:00:00+00:00,"[4.30204, 51.89456]",3PET,252,257162000,POINT (4.30204 51.89456)
460,2022-06-05 00:31:34+00:00,2022-06-05 00:00:00+00:00,"[4.30865, 51.88777]",3PET,252,257162000,POINT (4.30865 51.88777)
464,2022-06-05 00:50:57+00:00,2022-06-05 00:00:00+00:00,"[4.08175, 51.97917]",CKMV,254,255805609,POINT (4.08175 51.97917)
465,2022-06-05 00:41:41+00:00,2022-06-05 00:00:00+00:00,"[4.09908, 51.9739]",CKMV,254,255805609,POINT (4.09908 51.9739)
466,2022-06-05 00:46:49+00:00,2022-06-05 00:00:00+00:00,"[4.05843, 51.98567]",LNG,255,309481000,POINT (4.05843 51.98567)
467,2022-06-05 00:46:49+00:00,2022-06-05 00:00:00+00:00,"[4.05843, 51.98567]",LNG,255,309481000,POINT (4.05843 51.98567)
471,2022-06-05 01:47:27+00:00,2022-06-05 01:00:00+00:00,"[4.172, 51.94323]",7PET,257,538005389,POINT (4.172 51.94323)
472,2022-06-05 01:42:16+00:00,2022-06-05 01:00:00+00:00,"[4.1843, 51.93715]",7PET,257,538005389,POINT (4.1843 51.93715)
473,2022-06-05 01:47:35+00:00,2022-06-05 01:00:00+00:00,"[4.08234, 51.95418]",AMAZ,258,255806009,POINT (4.08234 51.95418)
474,2022-06-05 01:47:31+00:00,2022-06-05 01:00:00+00:00,"[4.08234, 51.95418]",AMAZ,258,255806009,POINT (4.08234 51.95418)
475,2022-06-05 01:52:35+00:00,2022-06-05 01:00:00+00:00,"[4.35642, 51.89928]",NMBOT,259,564469000,POINT (4.35642 51.89928)
476,2022-06-05 02:27:56+00:00,2022-06-05 02:00:00+00:00,"[4.31568, 51.89528]",1PET,260,636016363,POINT (4.31568 51.89528)
