vessel_subtype,count
all,897354
hazardous-cat-a,147201
hazardous-cat-b,28354
hazardous-cat-d,18176
hazardous-cat-c,12738
reserved-29,8622
reserved-98,2725
regular,1302
reserved-76,671
large,279
reserved-85,48
reserved-88,45
reserved-78,27
reserved-97,18
reserved-86,2
reserved-68,1
